Month,Day,Weekday,Airline,Origin,Dest,AirTime,Distance,ArrivalDelay,Diverted,Cancelled,Date
1,1,Wed,WN,LAX,SLC,94.0,590,65.0,0,0,1/1
1,1,Wed,UA,DEN,IAD,154.0,1452,-13.0,0,0,1/1
1,1,Wed,MQ,DFW,VPS,85.0,641,35.0,0,0,1/1
1,1,Wed,AA,DFW,DCA,126.0,1192,-7.0,0,0,1/1
1,1,Wed,WN,LAX,MCI,166.0,1363,39.0,0,0,1/1
1,1,Wed,UA,IAH,SAN,178.0,1303,-14.0,0,0,1/1
1,1,Wed,AA,DFW,MSY,64.0,447,83.0,0,0,1/1
1,1,Wed,F9,SFO,PHX,91.0,651,-6.0,0,0,1/1
1,1,Wed,AA,ORD,STL,44.0,258,-5.0,0,0,1/1
1,1,Wed,UA,IAH,SJC,215.0,1608,-14.0,0,0,1/1
1,1,Wed,MQ,DFW,DRO,104.0,674,28.0,0,0,1/1
1,1,Wed,EV,ORD,JAN,113.0,677,5.0,0,0,1/1
1,1,Wed,OO,ORD,MSP,65.0,334,4.0,0,0,1/1
1,1,Wed,EV,ORD,CMH,46.0,296,-9.0,0,0,1/1
1,1,Wed,UA,IAH,IND,102.0,844,-20.0,0,0,1/1
1,1,Wed,AA,DEN,DFW,93.0,641,4.0,0,0,1/1
1,1,Wed,OO,DEN,SGU,66.0,517,20.0,0,0,1/1
1,1,Wed,NK,DEN,DTW,124.0,1123,54.0,0,0,1/1
1,1,Wed,MQ,ORD,DAY,37.0,240,20.0,0,0,1/1
1,1,Wed,WN,PHX,LAX,58.0,370,59.0,0,0,1/1
1,1,Wed,WN,ATL,BWI,76.0,577,-15.0,0,0,1/1
1,1,Wed,UA,ORD,CLE,47.0,315,41.0,0,0,1/1
1,1,Wed,OO,LAS,LAX,39.0,236,-12.0,0,0,1/1
1,1,Wed,WN,ATL,HOU,113.0,696,18.0,0,0,1/1
1,1,Wed,MQ,DFW,BTR,,383,,0,1,1/1
1,1,Wed,OO,ORD,SPI,31.0,174,5.0,0,0,1/1
1,1,Wed,AA,LAX,AUS,157.0,1242,41.0,0,0,1/1
1,1,Wed,OO,IAH,JAC,161.0,1265,-1.0,0,0,1/1
1,1,Wed,WN,ATL,MDW,97.0,591,-4.0,0,0,1/1
1,1,Wed,EV,ORD,IND,29.0,177,-19.0,0,0,1/1
1,1,Wed,WN,LAS,RNO,55.0,345,-13.0,0,0,1/1
1,1,Wed,US,PHX,DEN,94.0,602,49.0,0,0,1/1
1,1,Wed,AA,PHX,MIA,230.0,1972,117.0,0,0,1/1
1,1,Wed,AA,IAH,MIA,115.0,964,21.0,0,0,1/1
1,1,Wed,OO,LAX,LAS,42.0,236,-6.0,0,0,1/1
1,1,Wed,US,ORD,PHL,80.0,678,-9.0,0,0,1/1
